,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
749,,2020,"IOCL-HALDIA, WEST BENGAL",319.0,
750,,2020,"BPCL-MUMBAI, MAHARASHTRA",907.0,
751,,2020,"BPCL-KOCHI, KERALA",676.0,
752,,2020,BORL-BINA,440.0,
753,,2020,BPCL-TOTAL,2229.0,
754,,2020,ONGC TOTAL,572.0,
755,,2020,"HMEL-GGSR, BATHINDA, PUNJAB",653.0,
756,,2020,"NEL-VADINAR,GUJARAT",1561.0,
757,,2020,"IOCL-PANIPAT, HARYANA",1173.0,
758,,2020,CPCL-TOTAL,579.0,
759,,2020,"BPCL-MUMBAI, MAHARASHTRA",972.0,
760,,2020,"MRPL-MANGALORE,KARNATAKA",627.0,
761,,2020,"HPCL-MUMBAI,MAHARASHTRA",654.0,
762,,2020,RIL TOTAL,4652.0,
763,,2020,GRAND TOTAL,17537.0,
764,,2020,"IOCL-KOYALI, GUJARAT",1092.0,
765,,2020,"IOCL-GUWAHATI,ASSAM",87.0,
766,,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
767,,2020,"HPCL-MUMBAI,MAHARASHTRA",637.0,
768,,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1035.0,
769,,2020,RIL TOTAL,4299.0,
770,,2020,"IOCL-MATHURA, UTTAR PRADESH",641.0,
771,,2020,"HPCL-VISAKH,ANDHRA PRADESH",651.0,
772,,2020,"RIL,JAMNAGAR,GUJARAT",3021.0,
773,,2020,GRAND TOTAL,16150.0,
774,,2020,"IOCL-KOYALI, GUJARAT",899.0,
775,,2020,"IOCL-HALDIA, WEST BENGAL",440.0,
776,,2020,"IOCL-MATHURA, UTTAR PRADESH",615.0,
777,,2020,"IOCL-PARADIP,ODISHA",992.0,
778,,2020,"CPCL-MANALI, TAMILNADU",770.0,
779,,2020,"MRPL-MANGALORE,KARNATAKA",813.0,
780,,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1016.0,
781,,2020,"RIL,JAMNAGAR,GUJARAT",2779.0,
782,,2020,RIL TOTAL,5009.0,
783,,2020,"IOCL-MATHURA, UTTAR PRADESH",709.0,
784,,2020,"IOCL-PANIPAT, HARYANA",1237.0,
785,,2020,"IOCL-GUWAHATI,ASSAM",84.0,
786,,2020,"IOCL-PARADIP,ODISHA",1279.0,
787,,2020,"BPCL-MUMBAI, MAHARASHTRA",1051.0,
788,,2020,"BPCL-KOCHI, KERALA",1066.0,
789,,2020,"MRPL-MANGALORE,KARNATAKA",731.0,
790,,2020,"BPCL-KOCHI, KERALA",1337.0,
791,,2020,ONGC TOTAL,1018.0,
792,,2020,"RIL,JAMNAGAR,GUJARAT",2871.0,
793,,2020,"NEL-VADINAR,GUJARAT",1476.0,
794,,2020,"IOCL-KOYALI, GUJARAT",1173.0,
795,,2020,"IOCL-PARADIP,ODISHA",977.0,
796,,2020,IOCL TOTAL,5988.0,
797,,2020,"HPCL-VISAKH,ANDHRA PRADESH",707.0,
798,,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1027.0,
799,,2020,RIL TOTAL,5688.0,
800,,2021,"IOCL-BONGAIGAON,ASSAM",211.0,
