,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
550,,2023,"HPCL-VISAKH,ANDHRA PRADESH",1013.17,
551,,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",1986.7,
552,,2023,"IOCL-BARAUNI,BIHAR",503.43,
553,,2023,"CPCL-MANALI, TAMILNADU",1007.23,
554,,2023,"HPCL-VISAKH,ANDHRA PRADESH",1010.06,
555,,2023,"RIL,JAMNAGAR,GUJARAT",2925.27,
556,,2023,"IOCL-PANIPAT, HARYANA",1308.49,
557,,2023,"IOCL-DIGBOI,ASSAM",69.08,
558,,2023,"BPCL-MUMBAI, MAHARASHTRA",1390.34,
559,,2023,"BPCL-KOCHI, KERALA",1563.39,
560,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.7,
561,,2023,ONGC TOTAL,1563.95,
562,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1109.95,
563,,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2493.78,
564,,2024,"IOCL-MATHURA, UTTAR PRADESH",646.13,
565,,2024,"IOCL-BONGAIGAON,ASSAM",251.93,
566,,2024,"HMEL-GGSR, BATHINDA, PUNJAB",851.84,
567,,2024,"NEL-VADINAR,GUJARAT",1732.75,
568,,2024,"IOCL-BARAUNI,BIHAR",541.97,
569,,2024,"IOCL-DIGBOI,ASSAM",64.69,
570,,2024,"IOCL-BONGAIGAON,ASSAM",238.9,
571,,2024,"IOCL-PARADIP,ODISHA",1271.3,
572,,2024,"BPCL-MUMBAI, MAHARASHTRA",1307.15,
573,,2024,"HPCL-VISAKH,ANDHRA PRADESH",1254.0,
574,,2024,"HMEL-GGSR, BATHINDA, PUNJAB",884.58,
575,,2024,"IOCL-MATHURA, UTTAR PRADESH",900.97,
576,,2024,"IOCL-DIGBOI,ASSAM",68.77,
577,,2024,"IOCL-PARADIP,ODISHA",1405.67,
578,,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",5.45,
579,,2024,"RIL,JAMNAGAR,GUJARAT",3016.31,
580,,2022,"CPCL-MANALI, TAMILNADU",904.2,
581,,2022,"BPCL-MUMBAI, MAHARASHTRA",1301.76,
582,,2022,"BPCL-KOCHI, KERALA",1314.11,
583,,2022,"MRPL-MANGALORE,KARNATAKA",1480.97,
584,,2022,"HPCL-VISAKH,ANDHRA PRADESH",797.81,
585,,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1039.86,
586,,2022,"NEL-VADINAR,GUJARAT",1659.98,
587,,2022,IOCL TOTAL,6422.41,
588,,2022,"NRL-NUMALIGARH, ASSAM",275.34,
589,,2022,"HPCL-MUMBAI,MAHARASHTRA",844.05,
590,,2022,HPCL-TOTAL,2757.9,
591,,2022,"RIL,JAMNAGAR,GUJARAT",3123.94,
592,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2547.25,
593,,2022,"IOCL-KOYALI, GUJARAT",1314.78,
594,,2022,"IOCL-PARADIP,ODISHA",1263.58,
595,,2022,BPCL-TOTAL,2895.38,
596,,2022,"RIL,JAMNAGAR,GUJARAT",2953.79,
597,,2022,"NEL-VADINAR,GUJARAT",1679.61,
598,,2022,"IOCL-BARAUNI,BIHAR",558.62,
599,,2022,"HPCL-MUMBAI,MAHARASHTRA",876.49,
600,,2022,"RIL,JAMNAGAR,GUJARAT",2932.96,
601,,2022,"IOCL-HALDIA, WEST BENGAL",708.57,
602,,2022,"IOCL-PANIPAT, HARYANA",1207.09,
603,,2022,"BPCL-KOCHI, KERALA",1377.33,
604,,2022,BORL-BINA,412.22,
605,,2022,BPCL-TOTAL,3036.17,
606,,2022,"HPCL-VISAKH,ANDHRA PRADESH",555.78,
607,,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2146.64,
608,,2022,GRAND TOTAL,19533.7,
609,,2022,"IOCL-HALDIA, WEST BENGAL",701.74,
610,,2022,"IOCL-MATHURA, UTTAR PRADESH",767.41,
611,,2022,BPCL-TOTAL,3067.65,
612,,2022,RIL TOTAL,4622.84,
613,,2022,GRAND TOTAL,19549.92,
614,,2022,"IOCL-DIGBOI,ASSAM",62.42,
615,,2022,"IOCL-BONGAIGAON,ASSAM",254.15,
616,,2022,CPCL-TOTAL,723.13,
617,,2022,"BPCL-KOCHI, KERALA",581.02,
618,,2022,"NRL-NUMALIGARH, ASSAM",279.61,
619,,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",7.55,
620,,2022,"MRPL-MANGALORE,KARNATAKA",1493.47,
621,,2022,ONGC TOTAL,1501.02,
622,,2022,HPCL-TOTAL,2663.38,
623,,2022,"NEL-VADINAR,GUJARAT",1716.96,
624,,2022,"IOCL-HALDIA, WEST BENGAL",708.1,
625,,2022,"IOCL-DIGBOI,ASSAM",59.69,
626,,2022,CPCL-TOTAL,921.0,
627,,2022,ONGC TOTAL,1467.89,
628,,2022,RIL TOTAL,5233.71,
629,,2022,"IOCL-BARAUNI,BIHAR",529.96,
630,,2022,"IOCL-KOYALI, GUJARAT",1326.2,
631,,2022,"IOCL-PANIPAT, HARYANA",890.41,
632,,2022,"IOCL-BONGAIGAON,ASSAM",251.22,
633,,2022,"CPCL-MANALI, TAMILNADU",960.42,
634,,2022,BPCL-TOTAL,3563.35,
635,,2022,"HPCL-VISAKH,ANDHRA PRADESH",818.38,
636,,2023,"IOCL-GUWAHATI,ASSAM",94.01,
637,,2023,"BPCL-MUMBAI, MAHARASHTRA",1390.21,
638,,2023,BORL-BINA,678.71,
639,,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",6.57,
640,,2023,"HPCL-VISAKH,ANDHRA PRADESH",823.65,
641,,2023,"RIL,JAMNAGAR,GUJARAT",2848.0,
642,,2023,"IOCL-GUWAHATI,ASSAM",86.09,
643,,2023,"IOCL-DIGBOI,ASSAM",57.15,
644,,2023,"IOCL-BONGAIGAON,ASSAM",233.22,
645,,2023,"IOCL-PARADIP,ODISHA",1191.96,
646,,2023,CPCL-TOTAL,927.88,
647,,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1008.02,
648,,2023,"IOCL-BARAUNI,BIHAR",579.97,
649,,2023,"IOCL-DIGBOI,ASSAM",59.4,
650,,2023,"IOCL-PARADIP,ODISHA",1418.04,
651,,2023,CPCL-TOTAL,1033.64,
652,,2023,"MRPL-MANGALORE,KARNATAKA",1502.25,
653,,2023,"RIL,JAMNAGAR,GUJARAT",2822.16,
654,,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2537.59,
655,,2023,"NEL-VADINAR,GUJARAT",1707.4,
656,,2023,GRAND TOTAL,23003.61,
657,,2021,"IOCL-PANIPAT, HARYANA",1322.0,
658,,2021,"BPCL-KOCHI, KERALA",1363.0,
659,,2021,"MRPL-MANGALORE,KARNATAKA",1100.0,
660,,2021,HPCL-TOTAL,1926.0,
661,,2021,"IOCL-BONGAIGAON,ASSAM",227.0,
662,,2021,IOCL TOTAL,5380.0,
663,,2021,BPCL-TOTAL,2601.0,
664,,2021,"HPCL-MUMBAI,MAHARASHTRA",119.0,
665,,2021,"IOCL-KOYALI, GUJARAT",1072.0,
666,,2021,"IOCL-HALDIA, WEST BENGAL",606.0,
667,,2021,"IOCL-PANIPAT, HARYANA",1213.0,
668,,2021,BORL-BINA,425.0,
669,,2021,HPCL-TOTAL,1848.0,
670,,2021,"NEL-VADINAR,GUJARAT",1650.0,
671,,2021,"IOCL-PANIPAT, HARYANA",1343.0,
672,,2021,"IOCL-GUWAHATI,ASSAM",,
673,,2021,"IOCL-BONGAIGAON,ASSAM",226.0,
674,,2021,CPCL-TOTAL,819.0,
675,,2021,ONGC TOTAL,1108.0,
676,,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1098.0,
677,,2021,"IOCL-DIGBOI,ASSAM",56.0,
678,,2021,"IOCL-PARADIP,ODISHA",663.0,
679,,2021,"CPCL-MANALI, TAMILNADU",629.0,
680,,2021,CPCL-TOTAL,629.0,
681,,2021,BPCL-TOTAL,2971.0,
682,,2021,"NRL-NUMALIGARH, ASSAM",212.0,
683,,2021,"MRPL-MANGALORE,KARNATAKA",1007.0,
684,,2021,ONGC TOTAL,1013.0,
685,,2021,"NEL-VADINAR,GUJARAT",1710.0,
686,,2021,"IOCL-BARAUNI,BIHAR",56.0,
687,,2021,"IOCL-KOYALI, GUJARAT",1005.0,
688,,2021,"IOCL-HALDIA, WEST BENGAL",642.0,
689,,2021,"IOCL-MATHURA, UTTAR PRADESH",723.0,
690,,2021,CPCL-TOTAL,497.0,
691,,2021,"BPCL-KOCHI, KERALA",1338.0,
692,,2021,BPCL-TOTAL,2874.0,
693,,2021,"HPCL-VISAKH,ANDHRA PRADESH",546.0,
694,,2021,"IOCL-MATHURA, UTTAR PRADESH",854.0,
695,,2021,"IOCL-GUWAHATI,ASSAM",93.0,
696,,2021,ONGC TOTAL,1469.0,
697,,2021,RIL TOTAL,5754.0,
698,,2021,"NEL-VADINAR,GUJARAT",1749.0,
699,,2021,"CPCL-MANALI, TAMILNADU",816.0,
700,,2021,"BPCL-MUMBAI, MAHARASHTRA",1294.0,
701,,2021,BPCL-TOTAL,3407.0,
702,,2021,ONGC TOTAL,1475.0,
703,,2021,"RIL,JAMNAGAR,GUJARAT",2997.0,
704,,2021,"IOCL-GUWAHATI,ASSAM",84.0,
705,,2021,"IOCL-DIGBOI,ASSAM",62.0,
706,,2021,"IOCL-PARADIP,ODISHA",1330.0,
707,,2021,"BPCL-KOCHI, KERALA",1360.0,
708,,2021,"NRL-NUMALIGARH, ASSAM",137.0,
709,,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2510.0,
710,,2022,"IOCL-BARAUNI,BIHAR",619.0,
