,Month,Year,OIL COMPANIES,Quantity (000 Metric Tonnes),last_updated
313,,2020,"MRPL-MANGALORE,KARNATAKA",671.0,
314,,2020,"HPCL-MUMBAI,MAHARASHTRA",549.0,
315,,2020,HPCL-TOTAL,1917.0,
316,,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2523.0,
317,,2020,"IOCL-DIGBOI,ASSAM",56.0,
318,,2020,"IOCL-PARADIP,ODISHA",959.0,
319,,2020,"MRPL-MANGALORE,KARNATAKA",566.0,
320,,2020,"HPCL-MUMBAI,MAHARASHTRA",525.0,
321,,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2550.0,
322,,2020,"IOCL-MATHURA, UTTAR PRADESH",769.0,
323,,2020,IOCL TOTAL,5573.0,
324,,2020,"CPCL-MANALI, TAMILNADU",579.0,
325,,2020,ONGC TOTAL,634.0,
326,,2020,"HPCL-VISAKH,ANDHRA PRADESH",725.0,
327,,2020,HPCL-TOTAL,2164.0,
328,,2020,"IOCL-BARAUNI,BIHAR",437.0,
329,,2020,"IOCL-DIGBOI,ASSAM",51.0,
330,,2020,"CPCL-MANALI, TAMILNADU",724.0,
331,,2020,BPCL-TOTAL,2571.0,
332,,2020,"HPCL-VISAKH,ANDHRA PRADESH",718.0,
333,,2020,HPCL-TOTAL,2390.0,
334,,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",1468.0,
335,,2020,"IOCL-HALDIA, WEST BENGAL",562.0,
336,,2020,"CPCL-MANALI, TAMILNADU",562.0,
337,,2020,"BPCL-KOCHI, KERALA",936.0,
338,,2020,BPCL-TOTAL,2440.0,
339,,2020,"HPCL-MUMBAI,MAHARASHTRA",658.0,
340,,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1047.0,
341,,2020,RIL TOTAL,4390.0,
342,,2020,"IOCL-BONGAIGAON,ASSAM",189.0,
343,,2020,"BPCL-MUMBAI, MAHARASHTRA",909.0,
344,,2020,"NRL-NUMALIGARH, ASSAM",198.0,
345,,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
346,,2020,ONGC TOTAL,820.0,
347,,2020,HPCL-TOTAL,2414.0,
348,,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2230.0,
349,,2020,"IOCL-BARAUNI,BIHAR",435.0,
350,,2020,"IOCL-HALDIA, WEST BENGAL",585.0,
351,,2020,"IOCL-DIGBOI,ASSAM",61.0,
352,,2020,"NRL-NUMALIGARH, ASSAM",232.0,
353,,2020,BPCL-TOTAL,2910.0,
354,,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7.0,
355,,2020,"HPCL-VISAKH,ANDHRA PRADESH",793.0,
356,,2020,"RIL,JAMNAGAR,GUJARAT",3023.0,
357,,2020,"NEL-VADINAR,GUJARAT",563.0,
358,,2020,GRAND TOTAL,18389.0,
359,,2020,"IOCL-KOYALI, GUJARAT",1124.0,
360,,2020,"IOCL-HALDIA, WEST BENGAL",680.0,
361,,2020,"IOCL-MATHURA, UTTAR PRADESH",796.0,
362,,2020,"IOCL-DIGBOI,ASSAM",59.0,
363,,2020,IOCL TOTAL,6210.0,
364,,2020,"BPCL-MUMBAI, MAHARASHTRA",1247.0,
365,,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038.0,
366,,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2611.0,
367,,2020,"IOCL-BARAUNI,BIHAR",553.0,
368,,2020,"IOCL-GUWAHATI,ASSAM",84.0,
369,,2020,"IOCL-DIGBOI,ASSAM",58.0,
370,,2020,ONGC TOTAL,1314.0,
371,,2021,"IOCL-HALDIA, WEST BENGAL",723.0,
372,,2021,"IOCL-MATHURA, UTTAR PRADESH",893.0,
373,,2021,"IOCL-DIGBOI,ASSAM",58.0,
374,,2021,"IOCL-PARADIP,ODISHA",1206.0,
375,,2021,IOCL TOTAL,6278.0,
376,,2021,"BPCL-MUMBAI, MAHARASHTRA",1320.0,
377,,2021,"BPCL-KOCHI, KERALA",1573.0,
378,,2021,"NEL-VADINAR,GUJARAT",1545.0,
379,,2021,GRAND TOTAL,21809.0,
380,,2021,"IOCL-KOYALI, GUJARAT",912.0,
381,,2021,"IOCL-PANIPAT, HARYANA",1047.0,
382,,2021,"IOCL-PARADIP,ODISHA",1164.0,
383,,2021,"CPCL-MANALI, TAMILNADU",758.0,
384,,2021,"BPCL-MUMBAI, MAHARASHTRA",1264.0,
385,,2021,RIL TOTAL,4876.0,
386,,2021,"IOCL-DIGBOI,ASSAM",23.0,
387,,2021,IOCL TOTAL,5927.0,
388,,2021,"BPCL-MUMBAI, MAHARASHTRA",1376.0,
389,,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",8.0,
390,,2021,"MRPL-MANGALORE,KARNATAKA",1361.0,
391,,2021,ONGC TOTAL,1369.0,
392,,2021,RIL TOTAL,4890.0,
